test_number,similarity,value
0,1592533,27.463811880002254
1,1726427,26.859093407477737
2,1677885,26.737027220935072
3,1823361,26.42727347007185
4,1764715,26.67654367096502
5,1829828,26.373310793801643
6,1731791,26.944538360954102
7,1664967,26.936336065894228
8,1647377,27.008386666269338
9,1829828,26.373310793801867
10,1632460,27.10228185479444
11,1732368,26.722574077230284
12,1728791,27.029540684290026
13,1707349,26.952840492436916
14,1823361,26.427273470071334
15,1751235,27.01661787220611
16,1844302,26.390124159686835
17,1782224,26.588971254191357
18,1587263,27.619342690280394
19,1742822,27.023847595820467
20,1802384,26.485758592145036
21,1680855,26.77721007951117
22,1657035,27.098363205212625
23,1717143,26.799567283060284
24,1566419,27.433228051528406
25,1763964,26.673959478280135
26,1725343,26.825641844913566
27,1651510,27.455295356977306
28,1681830,27.08503575536285
29,1634807,27.432220729681116
30,1755601,26.87357138002137
31,1664364,27.320944300724666
32,1610224,27.237062403006327
33,1816886,26.770613326729325
34,1740169,26.63579087233471
35,1579351,27.561399075933668
36,1574779,27.467739978499754
37,1829828,26.373310793801977
38,1655307,27.127203870022424
39,1735009,26.664475009250445
40,1682964,26.772681902799626
41,1760278,26.781119432978297
42,1604664,27.498666191985524
43,1632886,27.140684149125143
44,1844302,26.390124159687428
45,1632557,27.081725284707417
46,1732861,26.772004020464866
47,1766376,26.737173591542163
48,1606711,27.36197612686418
49,1686390,27.124571139672202
50,1829828,26.37331079380217
51,1685881,27.12987120098492
52,1526291,27.299443827252663
53,1763413,26.93994289262402
54,1844302,26.390124159687286
55,1611124,27.30766357056603
56,1716901,26.84939738416039
57,1628137,27.089261503836255
58,1638506,27.10334794520155
59,1829828,26.373310793801522
60,1765207,26.570837885415912
61,1694104,26.662415665593443
62,1618318,27.21377637623984
63,1677751,27.393267034845092
64,1778514,26.589168521451125
65,1763548,26.88591509303675
66,1786277,26.768581433449405
67,1726924,26.76849021229138
68,1734404,26.933354299371487
69,1679039,26.85709879456504
70,1716461,26.792519236148046
71,1655566,27.130114336636364
72,1641120,27.015262953857846
73,1745552,26.67856468489666
74,1710657,26.76650172662338
75,1685082,26.79742327301361
76,1776154,26.589615605174128
77,1609245,27.118290856822938
78,1575078,27.541387108032367
79,1725131,26.782742842691928
80,1666899,26.7768180756979
81,1749193,26.744996004241155
82,1823361,26.42727347007125
83,1780341,26.7394982412801
84,1547512,27.550174716986238
85,1576502,27.402235604802936
86,1709817,26.927244065151847
87,1740185,26.841445385052786
88,1654143,27.097274109753677
89,1799336,26.619458141829007
90,1823361,26.427273470071622
91,1706655,26.805172043653183
92,1660176,27.261645312691623
93,1687480,26.9687851044745
94,1737676,27.01556761055838
95,1701337,26.79405106722122
96,1844302,26.39012415968751
97,1761887,26.83731776464224
98,1644293,27.175024443021893
99,1657592,27.117710261870158
100,1823361,26.427273470071682
101,1661110,27.165677364730605
102,1640333,26.900193847730105
103,1624194,27.309947430407615
104,1529836,27.401772611984757
105,1844302,26.390124159687165
106,1738884,26.68348137594888
107,1680221,26.87268434879012
108,1542589,27.53802146932531
109,1829009,26.44746441500454
110,1746090,26.66312521096961
111,1781216,26.510902261332497
112,1617558,27.13730239168466
113,1705290,27.18365319865189
114,1664731,27.085032954475977
115,1652616,26.919520260868943
116,1771448,26.879852077205506
117,1768262,26.63159980654207
118,1711405,26.77554468066596
119,1636137,27.185045630342728
120,1770715,26.758736854868737
121,1693004,26.815370497695245
122,1723660,26.91849203895743
123,1783044,26.502663274455394
124,1692928,27.281244478420998
125,1690315,26.862906633290493
126,1744957,26.97281234193261
127,1724473,27.02907503734046
128,1722554,26.90968107077096
129,1642307,27.23053641133464
130,1770802,26.781804986540877
131,1798210,26.459132712512908
132,1680221,26.872684348790365
133,1829828,26.37331079380181
134,1667446,26.94837095047177
135,1761620,26.929900372806593
136,1783004,26.729453069156158
137,1786037,26.632379282826196
138,1829828,26.37331079380218
139,1758460,26.564999899949896
140,1756094,26.62512574272086
141,1727938,26.93550432332113
142,1808490,26.395535870862908
143,1624204,27.09108334665877
144,1708353,26.893672480191633
145,1671478,26.880106610433867
146,1657522,26.993143165434986
147,1652769,27.16298260328422
148,1681100,27.19978455455228
149,1723983,26.963949070128344
150,1619873,27.31029785060988
151,1844302,26.39012415968777
152,1560777,27.240626274042892
153,1762115,26.712456547165026
154,1844302,26.39012415968746
155,1743893,26.98298271870921
156,1808490,26.395535870863004
157,1626653,27.169114122029733
158,1736777,26.740276729714033
159,1706655,26.805172043653258
160,1824001,26.443351158125523
161,1651938,27.303660513233172
162,1708584,26.945729654742173
163,1706948,26.797630985992665
164,1730078,26.825869984537114
165,1783044,26.502663274455166
166,1729702,26.610226770835965
167,1607569,27.192767957810215
168,1678462,26.875429267368315
169,1844302,26.39012415968705
170,1709838,26.839177841329082
171,1733667,26.733075952571326
172,1747473,27.259537634632668
173,1734476,26.93671739258782
174,1685895,27.25485256844963
175,1595784,27.48830230137281
176,1594896,27.20103028736463
177,1720191,26.716044501094597
178,1714218,26.65843445409412
179,1727965,26.65875359495982
180,1701582,26.876439661285637
181,1666166,26.930463934809648
182,1710859,27.05369468706047
183,1698838,26.69387317475033
184,1621243,27.288815973965157
185,1632761,27.44305819235044
186,1844302,26.390124159687264
187,1748177,26.812279053514633
188,1732706,26.90755730903405
189,1733417,26.94277328750532
190,1667684,26.822319654101996
191,1727257,26.659775935108016
192,1685550,26.8122449360996
193,1686512,26.866209717636934
194,1828010,26.680915718886826
195,1675656,27.36687064987113
196,1688128,27.026205978075968
197,1757757,26.628230404484167
198,1631487,27.1487371177677
199,1749901,26.67118269592568
200,1719388,26.747185583618503
201,1794405,26.386572959043406
202,1829828,26.373310793802332
203,1643917,27.038754504152752
204,1730800,26.70545255182283
205,1554916,27.51892621432323
206,1829009,26.44746441500468
207,1803371,26.575021123864104
208,1608677,27.132116382267824
209,1789856,26.67629989746255
210,1701681,27.22304899680644
211,1749694,26.952535250314764
212,1745274,26.72179946025244
213,1644750,27.06842746304484
214,1663090,26.909228272247493
215,1674359,27.009746551069515
216,1684998,27.030142723326342
217,1662159,27.425608701184775
218,1579635,27.52194209216023
219,1538558,27.466087748084682
220,1692874,26.89528936501142
221,1760400,26.827810636342598
222,1794679,26.822194851633714
223,1697720,26.846225789916176
224,1734772,26.882575824244828
225,1759051,26.79224657178049
226,1782224,26.58897125419101
227,1746013,26.62311731712508
228,1711456,26.876057384974168
229,1551759,27.405084557747497
230,1661697,26.934346722298095
231,1673441,27.15318936055781
232,1724126,26.700460528544156
233,1737816,26.922725531226575
234,1566683,27.539042427106942
235,1613487,27.421310693370852
236,1650647,27.42346520042042
237,1739603,26.979961534491974
238,1703933,26.706884941178725
239,1528507,27.588913607711426
240,1796200,26.39261359300637
241,1585875,27.70568694126117
242,1735314,26.884419346468217
243,1720522,26.77407557992027
244,1630809,27.32282811314098
245,1696715,26.95510533645246
246,1734540,26.817101614168838
247,1672719,26.682993827917176
248,1772477,26.65359356775765
249,1693481,27.050417135649056
250,1773067,26.40907499485508
251,1548542,27.425039909763846
252,1829828,26.373310793801874
253,1709229,27.127533245433252
254,1737743,27.124603888668915
255,1695624,26.761601202792313
256,1732501,26.73339033453546
257,1737428,26.5160087874585
258,1717384,26.928917015995598
259,1695089,27.090288999012817
260,1693134,26.955715553204914
261,1746552,26.799928682498464
262,1711783,27.053755128136274
263,1709066,26.67564913186546
264,1698280,26.81339770311699
265,1829009,26.44746441500511
266,1736591,26.66577146357258
267,1731723,26.901317494319006
268,1725849,26.816580957487858
269,1665223,26.854673273925176
270,1610511,27.090327860134597
271,1800766,26.685761869497576
272,1715780,26.660387535035156
273,1751133,26.575558270584487
274,1721023,27.1196879956463
275,1744974,26.872652135244692
276,1674220,27.26095760259933
277,1627058,26.97893983122812
278,1754006,26.54619240409648
279,1636416,27.50603121370421
280,1774730,26.43981941258255
281,1717103,26.68641255798656
282,1672575,27.155987968390665
283,1716427,26.76419413174697
284,1771137,26.630699259798323
285,1776862,26.808573761210127
286,1725131,26.782742842692677
287,1638842,27.111092021799593
288,1640774,27.241265879223732
289,1774862,26.4151601282318
290,1679902,27.125352123278116
291,1697021,26.935032086120327
292,1791406,26.783579845318215
293,1529969,27.87106873878736
294,1735313,27.153880467927724
295,1748373,26.782693792475747
296,1573937,27.47554185683524
297,1544892,27.521977563631097
298,1646791,27.169064666009866
299,1762586,26.56139407197212
300,1715972,26.64620578770979
301,1774730,26.439819412581578
302,1662418,26.945945547869826
303,1792307,26.834661301646907
304,1735074,26.62215357366018
305,1571128,27.445369518178474
306,1603961,27.45194053426051
307,1628827,27.162727343138652
308,1788622,26.776052273568755
309,1794405,26.386572959043686
310,1654537,26.968533801972406
311,1757757,26.628230404483457
312,1723877,26.922797140973348
313,1584878,27.309221248338183
314,1690685,26.813736675598467
315,1731386,26.66399476088125
316,1678609,26.886212781383
317,1805361,26.41137184276524
318,1665587,26.974592085230157
319,1684698,26.815009305348052
320,1711147,26.58748714847852
321,1770364,26.450289228640948
322,1792803,26.763734736748674
323,1666212,27.344920381657452
324,1689088,26.895836461893786
325,1768262,26.631599806541892
326,1674214,26.91204907911925
327,1759711,26.73835685319198
328,1685362,27.06375928138323
329,1690498,26.723167389522132
330,1691317,26.81228917576489
331,1618786,27.308452313623366
332,1743195,26.635400827354292
333,1700284,27.25364538650214
334,1663529,27.17374184445742
335,1773067,26.409074994855814
336,1721239,26.68160630358428
337,1651124,26.89942340149961
338,1783004,26.72945306915619
339,1500679,28.172468369310835
340,1661114,26.870701051324325
341,1691001,26.83355397927059
342,1721484,26.79657644978029
343,1719166,26.677151163944796
344,1776267,26.761890815873386
345,1631002,27.12329754482661
346,1651126,26.88842398557762
347,1736534,26.800331603666162
348,1646012,27.17055753223654
349,1794224,26.66326457398614
350,1572675,27.48097992358574
351,1635029,27.161481738218992
352,1829009,26.447464415004262
353,1767905,26.81528077192131
354,1773067,26.409074994854972
355,1632752,27.127546727263233
356,1703553,27.019527706641384
357,1753835,26.620867608107034
358,1526736,27.570700008748595
359,1616457,27.10467261147831
360,1624501,27.138704130868867
361,1758940,26.624083606289233
362,1775160,26.718300974962318
363,1719346,27.01447358737537
364,1710486,27.004689949368025
365,1844302,26.390124159686998
366,1697575,27.01791411251523
367,1698312,27.11123107572036
368,1699968,27.09528998088656
369,1703204,26.893169570047434
370,1638963,27.205444847365932
371,1622289,27.2684906766914
372,1571949,27.546254788161708
373,1560921,27.8086254375788
374,1747383,26.943188172111643
375,1716144,26.6683930366404
376,1735074,26.62215357366026
377,1794405,26.386572959043328
378,1663053,26.987443215712183
379,1600428,27.213532005566954
380,1844302,26.3901241596872
381,1561880,27.69358651525658
382,1693699,27.21571077179718
383,1655685,27.076356621764276
384,1710657,26.766501726623638
385,1622828,27.21494862147805
386,1702549,27.060050962746217
387,1808490,26.39553587086277
388,1689926,26.879441625014838
389,1726740,26.79528002878832
390,1732096,26.887667423081922
391,1791406,26.783579845318467
392,1689846,26.934240971583396
393,1816051,26.80507315060863
394,1702120,27.055849289022127
395,1789692,26.622467667674496
396,1725131,26.782742842691526
397,1778514,26.589168521450652
398,1722919,26.62919272230635
399,1604210,27.384012983162922
400,1584044,27.094187551408265
401,1678123,26.997341313316245
402,1586198,27.30669880406137
403,1656428,26.904817657672602
404,1782224,26.58897125419086
405,1794405,26.386572959043278
406,1674470,27.206542085864612
407,1844302,26.390124159687314
408,1604846,27.33814056601093
409,1829828,26.373310793801895
410,1697996,27.206301838287324
411,1754006,26.546192404096463
412,1668314,27.1077634755087
413,1690332,26.87926150062973
414,1806510,26.48218582296537
415,1514534,27.65648220695836
416,1731630,26.727636754795
417,1651656,26.975052343343133
418,1719353,27.15400077657047
419,1776154,26.58961560517428
420,1727731,26.858058587277394
421,1638068,27.200296244678732
422,1805683,26.47247342416688
423,1716427,26.76419413174643
424,1746013,26.62311731712557
425,1609835,27.200884800001187
426,1583440,27.271488480006003
427,1663529,27.17374184445747
428,1668853,26.903536704641432
429,1540679,27.533692370735555
430,1616598,26.934572914244008
431,1627448,27.169721949869352
432,1648607,27.17183978396689
433,1634411,27.11685708831306
434,1682542,27.11419134971913
435,1555251,27.43799864583222
436,1651082,27.0570799267286
437,1711394,27.0408068541436
438,1667049,26.98849917482713
439,1711319,26.80913880508113
440,1756094,26.62512574272042
441,1674502,26.780579003054594
442,1704830,26.83571596351125
443,1611515,27.213588785429216
444,1636457,27.27676323785287
445,1806356,26.814017393193566
446,1759478,26.915271641606406
447,1612358,27.307559706121875
448,1683199,26.944810099926237
449,1765359,26.708192202873796
450,1794405,26.386572959043352
451,1703378,26.727274686999223
452,1771431,26.780701575009775
453,1726578,26.653097199044645
454,1791818,26.71793667152588
455,1791406,26.783579845318524
456,1682039,27.07930631318534
457,1773067,26.409074994855416
458,1581698,27.021059501047066
459,1777081,26.483359873915294
460,1652557,27.080647085194848
461,1652076,26.98313101945779
462,1581492,27.48216662418859
463,1801713,26.722811844887833
464,1829009,26.447464415004568
465,1578685,27.276060472464117
466,1726924,26.768490212291393
467,1700219,27.275407241839606
468,1567186,27.32596010230389
469,1706370,26.95704041478509
470,1733889,26.935921194585173
471,1672237,26.99392449939196
472,1760638,26.723964378819964
473,1713475,26.854322526400974
474,1620486,27.67738369456255
475,1759503,26.76135924846571
476,1796857,26.567427804598523
477,1702839,26.8511854915374
478,1685185,27.08310613279011
479,1608700,27.338406055220645
480,1796735,26.50401616223364
481,1712989,26.862828967352456
482,1808490,26.395535870863217
483,1708528,27.20236331988268
484,1621824,26.921062114474214
485,1722547,26.80172731551589
486,1608519,27.044009530843088
487,1735074,26.622153573660032
488,1844302,26.39012415968697
489,1666676,27.216273389006727
490,1704830,26.835715963510893
491,1746090,26.663125210969834
492,1844302,26.39012415968732
493,1713399,26.992326209625837
494,1578067,27.504125641526546
495,1636228,27.462514740491315
496,1705402,26.81978913669053
497,1752197,26.66809614420573
498,1735483,26.689922854528163
499,1803371,26.57502112386426
