test_number,similarity,value
0,3170,27.463811880002254
1,3680,26.859093407477737
2,3756,26.737027220935072
3,4058,26.42727347007185
4,3898,26.67654367096502
5,4472,26.373310793801643
6,3661,26.944538360954102
7,3567,26.936336065894228
8,3232,27.008386666269338
9,4472,26.373310793801867
10,3380,27.10228185479444
11,3703,26.722574077230284
12,3684,27.029540684290026
13,3624,26.952840492436916
14,4058,26.427273470071334
15,3695,27.01661787220611
16,4235,26.390124159686835
17,3813,26.588971254191357
18,3163,27.619342690280394
19,3793,27.023847595820467
20,3900,26.485758592145036
21,3673,26.77721007951117
22,3255,27.098363205212625
23,3632,26.799567283060284
24,2979,27.433228051528406
25,4020,26.673959478280135
26,3665,26.825641844913566
27,3343,27.455295356977306
28,3580,27.08503575536285
29,3436,27.432220729681116
30,4189,26.87357138002137
31,3350,27.320944300724666
32,3306,27.237062403006327
33,4067,26.770613326729325
34,3787,26.63579087233471
35,3361,27.561399075933668
36,3493,27.467739978499754
37,4472,26.373310793801977
38,3448,27.127203870022424
39,4049,26.664475009250445
40,3822,26.772681902799626
41,3807,26.781119432978297
42,3235,27.498666191985524
43,3250,27.140684149125143
44,4235,26.390124159687428
45,3236,27.081725284707417
46,3857,26.772004020464866
47,3916,26.737173591542163
48,3235,27.36197612686418
49,3618,27.124571139672202
50,4472,26.37331079380217
51,3541,27.12987120098492
52,3121,27.299443827252663
53,3774,26.93994289262402
54,4235,26.390124159687286
55,3328,27.30766357056603
56,3769,26.84939738416039
57,3275,27.089261503836255
58,3165,27.10334794520155
59,4472,26.373310793801522
60,3963,26.570837885415912
61,3680,26.662415665593443
62,3542,27.21377637623984
63,3618,27.393267034845092
64,3854,26.589168521451125
65,3911,26.88591509303675
66,3916,26.768581433449405
67,3704,26.76849021229138
68,3671,26.933354299371487
69,3739,26.85709879456504
70,3851,26.792519236148046
71,3392,27.130114336636364
72,3312,27.015262953857846
73,3752,26.67856468489666
74,4055,26.76650172662338
75,3854,26.79742327301361
76,3922,26.589615605174128
77,3517,27.118290856822938
78,3206,27.541387108032367
79,3818,26.782742842691928
80,3440,26.7768180756979
81,3834,26.744996004241155
82,4058,26.42727347007125
83,3868,26.7394982412801
84,2877,27.550174716986238
85,3081,27.402235604802936
86,3620,26.927244065151847
87,3837,26.841445385052786
88,3332,27.097274109753677
89,4117,26.619458141829007
90,4058,26.427273470071622
91,3576,26.805172043653183
92,3372,27.261645312691623
93,3634,26.9687851044745
94,3750,27.01556761055838
95,3835,26.79405106722122
96,4235,26.39012415968751
97,3723,26.83731776464224
98,3644,27.175024443021893
99,3332,27.117710261870158
100,4058,26.427273470071682
101,3453,27.165677364730605
102,3358,26.900193847730105
103,3433,27.309947430407615
104,3071,27.401772611984757
105,4235,26.390124159687165
106,4057,26.68348137594888
107,3552,26.87268434879012
108,2986,27.53802146932531
109,4075,26.44746441500454
110,3643,26.66312521096961
111,3766,26.510902261332497
112,3129,27.13730239168466
113,3718,27.18365319865189
114,3493,27.085032954475977
115,3597,26.919520260868943
116,3838,26.879852077205506
117,3879,26.63159980654207
118,3645,26.77554468066596
119,3236,27.185045630342728
120,4139,26.758736854868737
121,3422,26.815370497695245
122,3716,26.91849203895743
123,3755,26.502663274455394
124,3701,27.281244478420998
125,3603,26.862906633290493
126,3902,26.97281234193261
127,3649,27.02907503734046
128,3559,26.90968107077096
129,3594,27.23053641133464
130,4008,26.781804986540877
131,4156,26.459132712512908
132,3552,26.872684348790365
133,4472,26.37331079380181
134,3648,26.94837095047177
135,3889,26.929900372806593
136,3853,26.729453069156158
137,4157,26.632379282826196
138,4472,26.37331079380218
139,3799,26.564999899949896
140,3680,26.62512574272086
141,3742,26.93550432332113
142,4289,26.395535870862908
143,3720,27.09108334665877
144,3602,26.893672480191633
145,3565,26.880106610433867
146,3609,26.993143165434986
147,3292,27.16298260328422
148,3602,27.19978455455228
149,3873,26.963949070128344
150,3307,27.31029785060988
151,4235,26.39012415968777
152,3268,27.240626274042892
153,4081,26.712456547165026
154,4235,26.39012415968746
155,3756,26.98298271870921
156,4289,26.395535870863004
157,3362,27.169114122029733
158,3858,26.740276729714033
159,3576,26.805172043653258
160,4043,26.443351158125523
161,3425,27.303660513233172
162,3646,26.945729654742173
163,3579,26.797630985992665
164,3754,26.825869984537114
165,3755,26.502663274455166
166,3737,26.610226770835965
167,3589,27.192767957810215
168,3629,26.875429267368315
169,4235,26.39012415968705
170,3658,26.839177841329082
171,3849,26.733075952571326
172,3794,27.259537634632668
173,3860,26.93671739258782
174,3371,27.25485256844963
175,3289,27.48830230137281
176,3126,27.20103028736463
177,4002,26.716044501094597
178,3727,26.65843445409412
179,3532,26.65875359495982
180,3544,26.876439661285637
181,3640,26.930463934809648
182,3606,27.05369468706047
183,3437,26.69387317475033
184,3644,27.288815973965157
185,3503,27.44305819235044
186,4235,26.390124159687264
187,3852,26.812279053514633
188,3631,26.90755730903405
189,3824,26.94277328750532
190,3306,26.822319654101996
191,3519,26.659775935108016
